node_id,code,label,full_label,depth,ontology_description,llm_description,llm_model
http://example.org/competencies#GRNTI_02_15_21,02.15.21,Бытие. Материя. Сознание,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Бытие. Материя. Сознание,3,Бытие. Материя. Сознание,"Концепт «Бытие. Материя. Сознание» относится к общефилософским проблемам раздела «Философия» и охватывает вопросы онтологии, природы реальности и взаимосвязи материального и идеального. В рамках данной проблематики ключевыми терминами являются «бытие» (being), «материя» (matter), «сознание» (consciousness), «субстанция» (substance), «реальность» (reality), «идеальное» (ideal), «онтологический статус» (ontological status), «субъект» (subject) и «объект» (object). В публикациях также встречаются синонимы и парафразы: «философская онтология», «проблема соотношения материи и сознания», «вопросы существования и сущности». Типичными методами исследования выступают философский анализ, феноменология, диалектический метод, а также сравнительный анализ концепций в истории философии. К прикладным областям относятся этика, эпистемология и когнитивные исследования, где рассматриваются основания морали, теории познания и природа мышления. В отличие от соседних концептов, акцент делается на фундаментальных вопросах существования, а не на законах диалектики, познании или ценностях.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_15_31,02.15.31,Познание,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Познание,3,Познание,"Познание — это раздел философии, относящийся к общефилософским проблемам и изучающий процессы и формы получения, обработки и интерпретации знаний о мире. В центре внимания находятся такие понятия, как знание (knowledge), истина (truth), сознание (consciousness), восприятие (perception), мышление (thinking), рациональность (rationality), опыт (experience) и объективность (objectivity). В публикациях встречаются синонимы: теория познания, гносеология, эпистемология. Типичными методами исследования являются анализ (analysis), рефлексия (reflection), критика (criticism) и сравнительный метод (comparative method). Прикладные области включают образование (education), когнитивные науки (cognitive sciences) и искусственный интеллект (artificial intelligence). В отличие от соседних концептов, познание акцентирует внимание на механизмах и условиях формирования истинного знания, а не на бытии или ценностях.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_15_41,02.15.41,Законы и категории диалектики,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Законы и категории диалектики,3,Законы и категории диалектики,"Законы и категории диалектики — это раздел общефилософских проблем, изучающий фундаментальные принципы развития и взаимосвязей в природе, обществе и мышлении. В рамках этого направления исследуются такие ключевые понятия, как закон (law), категория (category), противоречие (contradiction), развитие (development), отрицание (negation), качество (quality), количество (quantity), сущность (essence) и явление (phenomenon). В публикациях тема также обозначается как диалектическая логика, диалектический метод или учение о всеобщих связях. Типичными методами исследования выступают анализ противоречий, синтез противоположностей и выявление диалектических переходов. Прикладные области включают разработку философских оснований науки, методологию социального анализа и формирование этических принципов. Таким образом, данный концепт выделяется в философии акцентом на универсальные закономерности развития, отличаясь от проблем познания, бытия или ценностей.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_15_51,02.15.51,Философия человека,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Философия человека,3,Философия человека,"Философия человека — это раздел общефилософских проблем, посвящённый осмыслению сущности, природы и предназначения человека в мире. В рамках данной темы исследуются такие понятия, как личность (personality), экзистенция (existence), свобода воли (free will), идентичность (identity), сознание (consciousness) и смысл жизни (meaning of life). В публикациях встречаются синонимичные наименования: философская антропология, антропологическая философия, учение о человеке. Типичные методы включают феноменологический анализ, герменевтическую интерпретацию и сравнительное изучение культурных кодов. Прикладные области охватывают этику, биоэтику, а также вопросы образования и социальной политики. В отличие от соседних разделов, философия человека сосредоточена на уникальности человеческого бытия и его ценностных основаниях.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_15_61,02.15.61,Философия ценностей,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Философия ценностей,3,Философия ценностей,"Философия ценностей (02.15.61) — это раздел общефилософских проблем, изучающий природу, структуру и роль ценностей в человеческом бытии и культуре. В рамках данной области исследуются такие понятия, как ценность (value), аксиология (axiology), добро (good), зло (evil), справедливость (justice), смысл (meaning), идеал (ideal), а также их взаимосвязи с этикой, эстетикой и социальной практикой. В публикациях встречаются синонимы: аксиологическая философия, философия ценностных ориентаций, теория ценностей. Типичные методы исследования включают концептуальный анализ, сравнительное изучение ценностных систем, историко-философскую реконструкцию и феноменологический подход. Прикладные области охватывают этическое консультирование, разработку образовательных программ по ценностному воспитанию и анализ культурных трансформаций. В отличие от соседних разделов, философия ценностей концентрируется на нормативном и смысловом измерении человеческого существования, а не на вопросах познания, сознания или диалектических законов.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_15_99,02.15.99,Другие общефилософские проблемы,Раздел: ФИЛОСОФИЯ. Область: Общефилософские проблемы. Другие общефилософские проблемы,3,Другие общефилософские проблемы,"Другие общефилософские проблемы относятся к области философии и охватывают вопросы, не вошедшие в основные подразделы общефилософских проблем. В рамках данного направления исследуются фундаментальные аспекты бытия (being), реальности (reality), существования (existence), а также метафизические и онтологические вопросы, которые не имеют чёткой привязки к категориям сознания или познания. В публикациях для обозначения этого концепта используются такие синонимы, как «прочие философские вопросы», «нестандартные философские проблемы» и «альтернативные метафизические темы». Типичными методами исследования выступают концептуальный анализ, сравнительная метафизика и критическая рефлексия, а объектами часто становятся универсалии, природа возможного и невозможного, а также структура философского дискурса. Прикладные области включают разработку новых философских подходов, междисциплинарные исследования на стыке философии и науки, а также анализ философских оснований этики и эстетики. В отличие от соседних концептов, таких как философия человека или философия ценностей, данный раздел охватывает вопросы, не сводимые к антропологическим или аксиологическим аспектам, и фокусируется на более абстрактных и универсальных философских темах.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_21_05,02.21.05,Общие проблемы диалектической логики,Раздел: ФИЛОСОФИЯ. Область: Логика. Общие проблемы диалектической логики,3,Общие проблемы диалектической логики,"Общие проблемы диалектической логики относятся к философской области логики и исследуют фундаментальные вопросы, связанные с развитием и противоречиями в мышлении. В рамках данного направления рассматриваются такие ключевые понятия, как диалектика (dialectics), противоречие (contradiction), развитие (development), отрицание (negation), единство и борьба противоположностей (unity and struggle of opposites), а также категории и законы диалектического мышления. В публикациях встречаются синонимы: «диалектическая логика», «основы диалектической логики», «проблемы диалектики в логике». Типичные методы исследования включают анализ противоречий, построение диалектических моделей и исследование логических переходов. Прикладные области охватывают философию науки, методологию познания и теоретическую педагогику. В отличие от соседних концептов, акцент делается не на формальных системах или отдельных законах, а на общих принципах и структуре диалектического рассуждения.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_21_11,02.21.11,Современное состояние логики,Раздел: ФИЛОСОФИЯ. Область: Логика. Современное состояние логики,3,Современное состояние логики,"Современное состояние логики как раздел философии охватывает актуальные направления, проблемы и достижения в логических исследованиях. В рамках данной темы рассматриваются такие понятия, как формальная логика (formal logic), неклассическая логика (non-classical logic), модальная логика (modal logic), интуиционистская логика (intuitionistic logic), паранепротиворечивая логика (paraconsistent logic), а также семантика и метатеория логических систем. В публикациях используются синонимы «современные логические теории», «актуальные направления логики» и «логика XXI века». Типичными методами исследования выступают формализация, аксиоматизация, анализ моделей и логический вывод. Прикладные области включают теоретическую информатику, искусственный интеллект и философию науки. В отличие от соседних концептов, акцент делается не на отдельных проблемах или системах, а на целостной картине развития логики в современном научном контексте.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_21_21,02.21.21,Логические формы и законы,Раздел: ФИЛОСОФИЯ. Область: Логика. Логические формы и законы,3,Логические формы и законы,"Логические формы и законы — это раздел философии, изучающий фундаментальные структуры и принципы правильного рассуждения. В рамках данной области рассматриваются такие понятия, как пропозиция (proposition), умозаключение (inference), силлогизм (syllogism), истинность (truth), ложность (falsity), логическая связность (logical coherence) и противоречие (contradiction). В публикациях часто используются синонимы: формальная логика (formal logic), логические структуры (logical structures), основные законы логики (fundamental laws of logic). Типичными методами исследования являются анализ аргументации (argument analysis), построение формальных систем (construction of formal systems), а также выявление и формализация логических законов (formalization of logical laws). Прикладные области включают разработку языков программирования (programming languages), искусственный интеллект (artificial intelligence), а также методологию научного познания (methodology of scientific knowledge). В отличие от соседних тем, данный концепт сфокусирован на универсальных логических формах и законах, лежащих в основе любого рассуждения, а не на специфических системах или диалектических аспектах.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_21_31,02.21.31,Логические системы и исчисления,Раздел: ФИЛОСОФИЯ. Область: Логика. Логические системы и исчисления,3,Логические системы и исчисления,"Логические системы и исчисления — это раздел философии, посвящённый формализации логики и разработке формальных языков. В рамках данной области изучаются такие понятия, как формальная система (formal system), исчисление (calculus), синтаксис (syntax), семантика (semantics), логический вывод (logical inference), аксиоматика (axiomatic system), правила вывода (inference rules), формальные языки (formal languages), а также метатеоретические свойства логических систем. В публикациях для обозначения этого концепта также используются синонимы: формальные логики, формализованные логические системы, исчисления высказываний и предикатов. Типичными методами исследования являются построение формальных исчислений, доказательство теорем о непротиворечивости и полноте, а также анализ разрешимости логических систем. Прикладные области включают автоматическое доказательство теорем, формальную верификацию программ и искусственный интеллект. В отличие от соседних тем, здесь акцент делается именно на формальных структурах и исчислениях, а не на общих вопросах диалектической логики или отдельных логических законах.",GigaChat-702B v6_optimized
